negative,neutral,positive,skip
0.04743587225675583,0.9783946871757507,0.0,0.0
0.1824355274438858,0.839743971824646,0.0,0.0
0.09010298550128937,0.9019306898117065,0.0,0.0
0.06755668669939041,0.9960646033287048,0.0,0.0
0.0695517510175705,0.1968362182378769,0.0,0.0
0.1824355274438858,0.8354935646057129,0.0,0.0
0.0,0.7826725244522095,0.0,0.13661839067935944
0.0,0.7186043858528137,0.0,0.19194278120994568
0.0,0.7431780099868774,0.08757384121417999,0.0
0.0,0.9416641592979431,0.0,0.0
0.4301573634147644,0.11597072333097458,0.0,0.0
0.01972912810742855,0.998599648475647,0.0,0.0
0.0,0.7122421860694885,0.0,0.2568419873714447
0.33459946513175964,0.2814156115055084,0.0,0.0
0.0,0.9241518378257751,0.0,0.22816647589206696
0.0,0.59267657995224,0.0,0.2509227991104126
0.0,0.9908843636512756,0.0,0.01641303114593029
0.0,0.6370407938957214,0.0,0.1294127255678177
0.0,0.9566442370414734,0.0,0.08270734548568726
0.07370626926422119,0.9755869507789612,0.0,0.0
0.0,0.7663036584854126,0.0,0.22271016240119934
0.0,0.8670457601547241,0.0,0.11597072333097458
0.0,0.9450047016143799,0.042097724974155426,0.0
0.0,0.7186043858528137,0.0,0.08510905504226685
0.2814156115055084,0.839743971824646,0.0,0.0
0.0,0.6584275364875793,0.13661839067935944,0.0
0.0,0.0,0.3629792034626007,0.1778208613395691
0.01799621433019638,0.9859463572502136,0.0,0.0
0.03022458776831627,0.9324633479118347,0.0,0.0
0.1259327530860901,0.7248802781105042,0.0,0.0
0.0,0.14805719256401062,0.0,0.41490885615348816
0.0,0.9697954058647156,0.0,0.07160120457410812
0.06009664759039879,0.979677677154541,0.0,0.0
0.33459946513175964,0.7248802781105042,0.0,0.0
0.1259327530860901,0.9019306898117065,0.0,0.0
0.0,0.9324633479118347,0.0,0.1097157895565033
0.01283121295273304,0.9974591135978699,0.0,0.0
0.0,0.8634016513824463,0.0,0.21207880973815918
0.20182321965694427,0.6654205918312073,0.0,0.0
0.3276783227920532,0.8706072568893433,0.0,0.0
0.0,0.7606606483459473,0.0,0.11280541121959686
0.0,0.771853506565094,0.23935934901237488,0.0
0.33459946513175964,0.287777841091156,0.0,0.0
0.0,0.9648651480674744,0.0695517510175705,0.0
0.0,0.9669240117073059,0.0,0.1778208613395691
0.0,0.26285186409950256,0.3140605390071869,0.0
0.0,0.9433575868606567,0.0,0.18714269995689392
0.3007555902004242,0.7057950496673584,0.0,0.0
0.1067005917429924,0.9496793746948242,0.0,0.0
0.0,0.9496793746948242,0.0,0.10088862478733063
0.0,0.9850529432296753,0.04337579756975174,0.0
0.0,0.8519628047943115,0.0,0.14805719256401062
0.0,0.8872146010398865,0.0,0.08757384121417999
0.16886694729328156,0.6150978803634644,0.0,0.0
0.3557848632335663,0.3276783227920532,0.0,0.0
0.14805719256401062,0.9740526676177979,0.0,0.0
0.0,0.9241518378257751,0.08757384121417999,0.0
0.0,0.8670457601547241,0.3923468291759491,0.0
0.14415885508060455,0.8774868249893188,0.0,0.0
0.0,0.5544804334640503,0.12253321707248688,0.0
0.0,0.8267217874526978,0.12253321707248688,0.0
0.0,0.9466066956520081,0.11280541121959686,0.0
0.08036746829748154,0.8903042674064636,0.0,0.0
0.04469086229801178,0.9899964332580566,0.0,0.0
0.06561483442783356,0.9859463572502136,0.0,0.0
0.0,0.9539760947227478,0.0,0.0695517510175705
0.0,0.9591643214225769,0.0,0.02518884465098381
0.0,0.9304682612419128,0.0,0.1097157895565033
0.3415925204753876,0.8596737384796143,0.0,0.0
0.07370626926422119,0.8519628047943115,0.0,0.0
0.275139719247818,0.7057950496673584,0.0,0.0
0.0,0.9399233460426331,0.14034625887870789,0.0
0.06755668669939041,0.9697954058647156,0.0,0.0
0.0,0.960371196269989,0.0,0.04337579756975174
0.0,0.9841036200523376,0.0,0.038476187735795975
0.23935934901237488,0.4688006341457367,0.0,0.0
0.0,0.8903042674064636,0.0,0.16027602553367615
0.0,0.7879412174224854,0.0,0.14034625887870789
0.0,0.9659096002578735,0.0,0.042097724974155426
0.06561483442783356,0.9173126816749573,0.0,0.0
0.0,0.7981967926025391,0.0,0.07586817443370819
0.0,0.7431780099868774,0.0,0.1968362182378769
0.05501529201865196,0.9777238368988037,0.0,0.0
0.0,0.8991314172744751,0.1097157895565033,0.0
0.048867784440517426,0.8479777574539185,0.0,0.0
0.0,0.8439050912857056,0.08757384121417999,0.0
0.0,0.9416641592979431,0.0,0.06561483442783356
0.0,0.3007555902004242,0.320831298828125,0.0
0.0,0.9284188151359558,0.0,0.13661839067935944
0.0,0.9790457487106323,0.0,0.09010298550128937
0.21734751760959625,0.9553291201591492,0.0,0.0
0.07370626926422119,0.8740872144699097,0.0,0.0
0.11921291798353195,0.59267657995224,0.0,0.0
0.14034625887870789,0.3998216390609741,0.0,0.0
0.08510905504226685,0.9511522054672241,0.0,0.0
0.0,0.9748311638832092,0.0,0.05034062638878822
0.13661839067935944,0.6297846436500549,0.0,0.0
0.0,0.9219318628311157,0.0,0.11921291798353195
0.0,0.8479777574539185,0.0,0.10088862478733063
0.0,0.9724247455596924,0.0695517510175705,0.0
0.0,0.5544804334640503,0.21734751760959625,0.0
0.06372499465942383,0.9263137578964233,0.0,0.0
0.0,0.7057950496673584,0.0,0.2814156115055084
0.0,0.8774868249893188,0.0,0.13297423720359802
0.0,0.6926519870758057,0.0,0.3415925204753876
0.0,0.9046605229377747,0.0,0.16027602553367615
0.0,0.7248802781105042,0.1968362182378769,0.0
0.0,0.1520422399044037,0.3998216390609741,0.0
0.16027602553367615,0.91965252161026,0.0,0.0
0.33459946513175964,0.8267217874526978,0.0,0.0
0.11280541121959686,0.9466066956520081,0.0,0.0
0.0,0.9304682612419128,0.08270734548568726,0.0
0.29422497749328613,0.7663036584854126,0.0,0.0
0.0,0.812877357006073,0.0,0.09535945951938629
0.0,0.2568419873714447,0.0,0.24509501457214355
0.034110426902770996,0.9859463572502136,0.0,0.0
0.18714269995689392,0.8519628047943115,0.0,0.0
0.33459946513175964,0.7122421860694885,0.0,0.0
0.0,0.8840492963790894,0.0,0.09010298550128937
0.20690405368804932,0.6791887283325195,0.0,0.0
0.0,0.9511522054672241,0.0,0.08510905504226685
0.3557848632335663,0.8558611869812012,0.0,0.0
